date,usd_per_gbp
2023-11-03,1.2303553568
2023-11-06,1.2397276085
2023-11-07,1.2303264061
2023-11-08,1.2263402862
2023-11-09,1.2259618141
2023-11-10,1.2218219249
2023-11-13,1.2242556365
2023-11-14,1.2293935573
2023-11-15,1.2465018122
2023-11-16,1.2396023766
2023-11-17,1.2440070942
2023-11-20,1.2470615086
2023-11-21,1.2544946522
2023-11-22,1.2537056188
2023-11-23,1.2537382103
2023-11-24,1.2573429473
2023-11-27,1.2635137474
2023-11-28,1.2611149505
2023-11-29,1.2695752673
2023-11-30,1.2656307892
2023-12-01,1.2638735545
2023-12-04,1.2668143140
2023-12-05,1.2618550447
2023-12-06,1.2589650742
2023-12-07,1.2560932945
2023-12-08,1.2576730074
2023-12-11,1.2569525590
2023-12-12,1.2573317196
2023-12-13,1.2525545750
2023-12-14,1.2703158630
2023-12-15,1.2752670884
2023-12-18,1.2656643057
2023-12-19,1.2732446716
2023-12-20,1.2643983594
2023-12-21,1.2652496976
2023-12-22,1.2719824602
2023-12-27,1.2743291489
2023-12-28,1.2765908569
2023-12-29,1.2715033657
2024-01-02,1.2644699636
2024-01-03,1.2627500867
2024-01-04,1.2695009156
2024-01-05,1.2667903955
2024-01-08,1.2705745792
2024-01-09,1.2730107752
2024-01-10,1.2724503912
2024-01-11,1.2754077428
2024-01-12,1.2730657359
2024-01-15,1.2715654952
2024-01-16,1.2642022352
2024-01-17,1.2674497192
2024-01-18,1.2678815012
2024-01-19,1.2685115060
2024-01-22,1.2725679229
2024-01-23,1.2716830618
2024-01-24,1.2747974703
2024-01-25,1.2734691015
2024-01-26,1.2734279824
2024-01-29,1.2695601173
2024-01-30,1.2666417527
2024-01-31,1.2684496986
2024-02-01,1.2669736272
2024-02-02,1.2764035983
2024-02-05,1.2554471640
2024-02-06,1.2570793354
2024-02-07,1.2632319325
2024-02-08,1.2600435709
2024-02-09,1.2607677903
2024-02-12,1.2616083662
2024-02-13,1.2683024278
2024-02-14,1.2565389758
2024-02-15,1.2545104221
2024-02-16,1.2578704515
2024-02-19,1.2611178729
2024-02-20,1.2610319869
2024-02-21,1.2624534274
2024-02-22,1.2664525547
2024-02-23,1.2695101945
2024-02-26,1.2693139950
2024-02-27,1.2679280542
2024-02-28,1.2633842989
2024-02-29,1.2639075360
2024-03-01,1.2633780437
2024-03-04,1.2673077597
2024-03-05,1.2682510550
2024-03-06,1.2718426162
2024-03-07,1.2750892387
2024-03-08,1.2835806876
2024-03-11,1.2822739649
2024-03-12,1.2773526177
2024-03-13,1.2801488572
2024-03-14,1.2789744790
2024-03-15,1.2752605081
2024-03-18,1.2735457469
2024-03-19,1.2702908304
2024-03-20,1.2692244669
2024-03-21,1.2730222461
2024-03-22,1.2614954251
2024-03-25,1.2643235548
2024-03-26,1.2644735922
2024-03-27,1.2610763921
2024-03-28,1.2642965735
2024-04-02,1.2570459595
2024-04-03,1.2580355372
2024-04-04,1.2649787849
2024-04-05,1.2639175498
2024-04-08,1.2614954251
2024-04-09,1.2685756978
2024-04-10,1.2699526399
2024-04-11,1.2544869921
2024-04-12,1.2469563589
2024-04-15,1.2477021252
2024-04-16,1.2449672285
2024-04-17,1.2456674473
2024-04-18,1.2471387864
2024-04-19,1.2442186405
2024-04-22,1.2315818738
2024-04-23,1.2404416037
2024-04-24,1.2433533073
2024-04-25,1.2512401517
2024-04-26,1.2510070876
2024-04-29,1.2539038284
2024-04-30,1.2538898898
2024-05-02,1.2506722159
2024-05-03,1.2555362089
2024-05-06,1.2579967313
2024-05-07,1.2547054367
2024-05-08,1.2479815992
2024-05-09,1.2479795337
2024-05-10,1.2525710302
2024-05-13,1.2548969462
2024-05-14,1.2555970366
2024-05-15,1.2618825722
2024-05-16,1.2656959814
2024-05-17,1.2655657350
2024-05-20,1.2695796512
2024-05-21,1.2715355805
2024-05-22,1.2716491516
2024-05-23,1.2743175814
2024-05-24,1.2716885067
2024-05-27,1.2745973904
2024-05-28,1.2790314998
2024-05-29,1.2753435922
2024-05-30,1.2707831502
2024-05-31,1.2712469982
2024-06-03,1.2729087173
2024-06-04,1.2760884629
2024-06-05,1.2783369391
2024-06-06,1.2769133133
2024-06-07,1.2803101504
2024-06-10,1.2719210075
2024-06-11,1.2743770636
2024-06-12,1.2760030818
2024-06-13,1.2766965004
2024-06-14,1.2690457811
2024-06-17,1.2665980869
2024-06-18,1.2674473622
2024-06-19,1.2727488011
2024-06-20,1.2683255830
2024-06-21,1.2643882126
2024-06-24,1.2663755459
2024-06-25,1.2684543894
2024-06-26,1.2656743988
2024-06-27,1.2644520629
2024-06-28,1.2647983175
2024-07-01,1.2672484963
2024-07-02,1.2658840186
2024-07-03,1.2704298536
2024-07-04,1.2756457957
2024-07-05,1.2792360512
2024-07-08,1.2836156853
2024-07-09,1.2798996343
2024-07-10,1.2807922573
2024-07-11,1.2875867386
2024-07-12,1.2959811494
2024-07-15,1.2977571539
2024-07-16,1.2969616217
2024-07-17,1.3029851636
2024-07-18,1.2984852985
2024-07-19,1.2921214998
2024-07-22,1.2928813157
2024-07-23,1.2917345640
2024-07-24,1.2918438069
2024-07-25,1.2874940674
2024-07-26,1.2870653488
2024-07-29,1.2824708044
2024-07-30,1.2845953003
2024-07-31,1.2832424745
2024-08-01,1.2794089745
2024-08-02,1.2747058824
2024-08-05,1.2769277347
2024-08-06,1.2692155632
2024-08-07,1.2728416931
2024-08-08,1.2695573392
