"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"39";"CAT_IBKR_V2_D1";"Buy";"2024.02.14 00:00:00";"315.177";"3.0";"2024.02.28 00:00:00";"328.934";"41,27";"1486,92";"IST";"PT";"-8,67";"41,27";"14d 0h 0m";""
"40";"CAT_IBKR_V2_D1";"Buy";"2024.03.08 00:00:00";"341.007";"2.0";"2024.03.19 00:00:00";"353.845";"25,68";"1512,60";"IST";"PT";"-19,28";"25,68";"11d 0h 0m";""
"41";"CAT_IBKR_V2_D1";"Buy";"2024.03.28 00:00:00";"363.996";"2.0";"2024.04.04 00:00:00";"377.817";"27,64";"1540,24";"IST";"PT";"-6,48";"27,64";"7d 0h 0m";""
"42";"CAT_IBKR_V2_D1";"Buy";"2024.04.05 00:00:00";"371.477";"2.0";"2024.04.17 00:00:00";"355.462";"-32,03";"1508,21";"IST";"SL";"-32,03";"20,24";"12d 0h 0m";""
"43";"CAT_IBKR_V2_D1";"Buy";"2024.04.22 00:00:00";"356.307";"2.0";"2024.04.25 00:00:00";"338.302";"-36,01";"1472,20";"IST";"SL";"-36,01";"22,84";"3d 0h 0m";""
"44";"CAT_IBKR_V2_D1";"Buy";"2024.04.30 00:00:00";"346.966";"2.0";"2024.05.20 00:00:00";"363.972";"34,01";"1506,21";"IST";"PT";"-35,34";"34,01";"20d 0h 0m";""
"45";"CAT_IBKR_V2_D1";"Buy";"2024.05.21 00:00:00";"362.277";"2.0";"2024.05.29 00:00:00";"343.069";"-38,42";"1467,80";"IST";"SL";"-38,42";"1,36";"8d 0h 0m";""
"46";"CAT_IBKR_V2_D1";"Buy";"2024.06.03 00:00:00";"340.006";"2.0";"2024.06.14 00:00:00";"321.216";"-37,58";"1430,22";"IST";"SL";"-37,58";"1,20";"11d 0h 0m";""
"47";"CAT_IBKR_V2_D1";"Buy";"2024.06.14 00:00:00";"321.216";"3.0";"2024.07.12 00:00:00";"336.797";"46,74";"1476,96";"IST";"PT";"-16,74";"46,74";"28d 0h 0m";""
"48";"CAT_IBKR_V2_D1";"Buy";"2024.07.15 00:00:00";"339.026";"2.0";"2024.07.16 00:00:00";"353.155";"28,26";"1505,22";"IST";"PT";"-3,00";"28,26";"1d 0h 0m";""
"49";"CAT_IBKR_V2_D1";"Buy";"2024.07.25 00:00:00";"335.447";"2.0";"2024.07.26 00:00:00";"351.210";"31,53";"1536,74";"IST";"PT";"-3,52";"31,53";"1d 0h 0m";""
"50";"CAT_IBKR_V2_D1";"Buy";"2024.07.29 00:00:00";"350.246";"2.0";"2024.08.01 00:00:00";"330.871";"-38,75";"1497,99";"IST";"SL";"-38,75";"0,50";"3d 0h 0m";""
"51";"CAT_IBKR_V2_D1";"Buy";"2024.08.02 00:00:00";"322.346";"3.0";"2024.08.14 00:00:00";"339.957";"52,83";"1550,83";"IST";"PT";"-45,87";"52,83";"12d 0h 0m";""
"52";"CAT_IBKR_V2_D1";"Buy";"2024.08.23 00:00:00";"342.376";"2.0";"2024.09.18 00:00:00";"358.990";"33,23";"1584,05";"IST";"PT";"-32,76";"33,23";"26d 0h 0m";""
"53";"CAT_IBKR_V2_D1";"Buy";"2024.09.30 00:00:00";"389.007";"2.0";"2024.10.30 00:00:00";"367.212";"-43,59";"1540,46";"IST";"SL";"-43,59";"28,84";"30d 0h 0m";""
"54";"CAT_IBKR_V2_D1";"Buy";"2024.11.04 00:00:00";"377.997";"2.0";"2024.11.06 00:00:00";"407.196";"58,40";"1598,86";"IST";"PT";"-5,50";"58,40";"2d 0h 0m";""
"55";"CAT_IBKR_V2_D1";"Buy";"2024.11.13 00:00:00";"389.337";"2.0";"2024.11.27 00:00:00";"408.614";"38,55";"1637,42";"IST";"PT";"-22,30";"38,55";"14d 0h 0m";""
"56";"CAT_IBKR_V2_D1";"Buy";"2024.12.06 00:00:00";"397.797";"2.0";"2024.12.17 00:00:00";"376.913";"-41,77";"1595,65";"IST";"SL";"-41,77";"22,72";"11d 0h 0m";""
"57";"CAT_IBKR_V2_D1";"Buy";"2024.12.24 00:00:00";"364.087";"2.0";"2024.12.31 00:00:00";"362.247";"-3,68";"1591,97";"IST";"EndTest";"-10,58";"6,46";"7d 0h 0m";""
